127.0.0.1 - - [08/Jun/2020:20:02:40 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:42 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:42 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:49 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:50 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:54 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:54 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:54 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:54 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:02:54 +0800] "GET /SelectClass/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:01 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:01 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:01 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:01 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:07 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:03:10 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:04:18 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:07:54 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:08:26 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:10 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:18 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:23 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:23 +0800] "GET /SelectClass/image/editpwd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:25 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:31 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:34 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:35 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:09:37 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:10:50 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:11:35 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:11:50 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:12:44 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:13:09 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:13:10 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:13:12 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:13:13 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:13:59 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:15:59 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:16:53 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:17:42 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:17:47 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:18:06 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:27:13 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:29:29 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:29:57 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:29:58 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:30:22 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [08/Jun/2020:20:30:29 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
