127.0.0.1 - - [10/Jun/2020:21:21:07 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:10 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:10 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:21 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:22 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:30 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:30 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:30 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:30 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:30 +0800] "GET /SelectClass/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:36 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:36 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:36 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:36 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:45 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:48 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:48 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:49 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:49 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:57 +0800] "POST /SelectClass/Login HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:57 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:57 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:21:57 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:22:05 +0800] "POST /SelectClass/Login HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:22:05 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:22:05 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:22:05 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:22:53 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1668
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:23:03 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:23:03 +0800] "GET /SelectClass/image/editpwd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:23:06 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:23:08 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [10/Jun/2020:21:23:08 +0800] "GET /SelectClass/css/myclass.css HTTP/1.1" 200 1092
