127.0.0.1 - - [12/Jun/2020:11:34:53 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:34:55 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 500 2936
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:36:34 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 500 2936
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:36:40 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 500 2936
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:05 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:05 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 200 255214
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:05 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 200 646128
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:05 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:05 +0800] "GET /SelectClass/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:14 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:15 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:15 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:15 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:15 +0800] "GET /SelectClass/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:19 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:19 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:19 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:19 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:19 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:27 +0800] "POST /SelectClass/Login HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:27 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:27 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:27 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:34 +0800] "POST /SelectClass/Login HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:34 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:34 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:37:34 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:38:08 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1668
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:38:11 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 500 2936
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:38:38 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:38:39 +0800] "GET /SelectClass/css/myclass.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:11:44:41 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 1426
